sample_id,6122_A5,6129_SE1,6168_B4,6122_P1_SE,6129_A5,6186_B4
MTRNR2L1,53370,26,149,2684,51,1072
MTATP6P1,30035,53678,80563,33720,17207,100871
TMEM59,23404,14513,68219,5563,2878,9030
ACTB,19682,45256,116781,29228,5267,32894
JUND,16789,1369,143519,1037,2447,27333
B2M,14647,87541,35885,37677,1290,9930
CD9,13847,12590,10367,5480,996,4559
PIGR,13598,181091,164988,52618,3605,20204
G0S2,11546,128,2856,18,243,2413
MALAT1,10176,5368,27861,5599,743,4238
LAMP1,8775,5189,6192,2394,520,967
ZG16,8150,23071,30021,17616,2562,8967
ESRP1,7616,6406,1126,2718,43,135
RAB5B,7245,5545,13191,2592,807,3662
CAMK2N1,7128,6438,108282,3491,2157,13658
CLCA4,7055,24105,29893,15597,601,3449
SCIN,6782,2619,127,1156,31,148
CFL1,6357,19945,56348,9184,617,4256
NEAT1,6093,10780,5091,23540,46,966
UGP2,6093,11529,2785,5916,50,254
TNPO2,6024,1293,648,617,4,58
FKBP1A,5942,3429,76053,1838,1097,7438
DTX4,5928,3412,55,1611,16,171
TPT1,5924,28113,21809,9340,4966,9523
LDLR,5896,927,19224,1980,250,133
CTNNB1,5707,9377,7168,4987,201,2477
RPL37A,5423,6713,17002,2223,498,2384
RPL41,5287,3498,26692,1052,1034,3929
CDKN2B,5165,4836,1384,2237,193,1155
ACTG1,5112,53606,23456,31931,629,3414
SMIM14,5106,7497,37663,2961,931,2698
MOB4,5097,668,5,301,8,4
PRDX6,5096,13323,5613,6758,971,3662
NET1,4792,8143,518,3788,101,1045
PTP4A1,4560,10778,50850,7653,1622,10364
SH3D19,4446,5691,4711,2492,75,353
FAM122A,4316,445,0,208,7,2
PUM2,4293,4544,225,1796,19,146
EMP1,4279,4969,10985,6031,2712,5610
PCBP1,4256,2841,2968,1684,264,976
CXCL8,4210,11,18021,3,1954,5591
RPS11,4168,10291,29737,3488,1043,10338
TRIM31,4070,3344,1967,3728,299,2999
LSM14A,3891,2667,9469,1019,109,1096
FAM134A,3874,2353,233,980,44,97
PLAC8,3786,3041,5326,3145,154,1310
RPL23,3627,6331,30533,1775,787,8759
UBA6,3530,1190,1,645,13,40
RASEF,3396,2540,1981,1804,131,532
ZNF829,3367,67,0,16,1,0
MARCKS,3276,8278,24672,3249,217,1588
HIGD1A,3255,5625,9619,2889,241,2099
ITM2C,3234,49759,6644,20543,243,377
WDR1,3206,10153,12527,5439,334,2434
MLLT3,3153,1437,3197,562,101,164
